year,week,pos_team,
2019,1,Howard,Win
2019,2,Syracuse,Win
2019,3,Temple,Loss
2019,5,Penn State,Loss
2019,6,Rutgers,Win
2019,7,Purdue,Loss
2019,8,Indiana,Loss
2019,9,Minnesota,Loss
2019,10,Michigan,Loss
2019,11,Ohio State,Loss
2019,13,Nebraska,Loss
2019,14,Michigan State,Loss
2021,1,West Virginia,Win
2021,1,Virginia Tech,Win
2021,2,Howard,Win
2021,3,Illinois,Win
2021,4,Kent State,Win
2021,5,Iowa,Loss
2021,6,Ohio State,Loss
2021,8,Minnesota,Loss
2021,9,Indiana,Win
2021,10,Penn State,Loss
2021,11,Michigan State,Loss
2021,12,Michigan,Loss
2021,13,Rutgers,Win
2022,1,Buffalo,Win
2022,3,SMU,Win
2022,4,Michigan,Loss
2022,5,Michigan State,Win
2022,6,Purdue,Loss
2022,7,Indiana,Win
2022,8,Northwestern,Win
2022,10,Wisconsin,Loss
2022,11,Penn State,Loss
2022,12,Ohio State,Loss
2022,13,Rutgers,Win
2023,1,Towson,Win
2023,2,Charlotte,Win
2023,3,Virginia,Win
2023,4,Michigan State,Win
2023,5,Indiana,Win
2023,6,Ohio State,Loss
2023,7,Illinois,Loss
2023,9,Northwestern,Loss
2023,10,Penn State,Loss
2023,11,Nebraska,Win
2023,12,Michigan,Loss
2023,13,Rutgers,Win
2024,1,Connecticut,Win
2024,2,Michigan State,Loss
